ID,Timestamp,Zone,Hour,Weekday,Outdoor Temperature (°F),Expected Occupancy,Expected Energy Consumption (kwh),Actual Energy Consumption (kwh),Wasted?
001,2026-06-14T00:00:00,A-Wing Classrooms,0,6,85.5,0,9.85,9.53,0
002,2026-06-14T00:00:00,B-Wing Bathrooms,0,6,85.5,0,4.55,4.87,0
003,2026-06-14T00:00:00,Cafeteria,0,6,85.5,0,12.15,10.52,0
004,2026-06-14T00:00:00,Gym,0,6,85.5,0,12.85,13.89,0
005,2026-06-14T00:00:00,Auditorium,0,6,85.5,0,8.85,10.38,0
006,2026-06-14T00:00:00,Science Lab,0,6,85.5,0,10.55,11.17,0
007,2026-06-14T00:00:00,Library,0,6,85.5,0,8.15,6.62,0
008,2026-06-14T01:00:00,A-Wing Classrooms,1,6,83.0,0,9.3,8.58,0
009,2026-06-14T01:00:00,B-Wing Bathrooms,1,6,83.0,0,4.0,4.96,0
010,2026-06-14T01:00:00,Cafeteria,1,6,83.0,0,11.6,10.5,0
011,2026-06-14T01:00:00,Gym,1,6,83.0,0,12.3,13.56,0
012,2026-06-14T01:00:00,Auditorium,1,6,83.0,0,8.3,9.32,0
013,2026-06-14T01:00:00,Science Lab,1,6,83.0,0,10.0,10.36,0
014,2026-06-14T01:00:00,Library,1,6,83.0,0,7.6,6.79,0
015,2026-06-14T02:00:00,A-Wing Classrooms,2,6,84.1,0,9.54,8.99,0
016,2026-06-14T02:00:00,B-Wing Bathrooms,2,6,84.1,0,4.24,3.49,0
017,2026-06-14T02:00:00,Cafeteria,2,6,84.1,0,11.84,13.25,0
018,2026-06-14T02:00:00,Gym,2,6,84.1,0,12.54,12.04,0
019,2026-06-14T02:00:00,Auditorium,2,6,84.1,0,8.54,7.92,0
020,2026-06-14T02:00:00,Science Lab,2,6,84.1,0,10.24,10.61,0
021,2026-06-14T02:00:00,Library,2,6,84.1,0,7.84,7.7,0
022,2026-06-14T03:00:00,A-Wing Classrooms,3,6,87.8,0,10.35,12.19,0
023,2026-06-14T03:00:00,B-Wing Bathrooms,3,6,87.8,0,5.05,3.86,0
024,2026-06-14T03:00:00,Cafeteria,3,6,87.8,0,12.65,13.16,0
025,2026-06-14T03:00:00,Gym,3,6,87.8,0,13.35,12.56,0
026,2026-06-14T03:00:00,Auditorium,3,6,87.8,0,9.35,9.29,0
027,2026-06-14T03:00:00,Science Lab,3,6,87.8,0,11.05,11.03,0
028,2026-06-14T03:00:00,Library,3,6,87.8,0,8.65,8.6,0
029,2026-06-15T04:00:00,A-Wing Classrooms,4,6,77.1,0,8.2,7.89,0
030,2026-06-15T04:00:00,B-Wing Bathrooms,4,6,77.1,0,2.9,2.7,0
031,2026-06-15T04:00:00,Cafeteria,4,6,77.1,0,10.5,10.73,0
032,2026-06-15T04:00:00,Gym,4,6,77.1,0,11.2,10.59,0
033,2026-06-15T04:00:00,Auditorium,4,6,77.1,0,7.2,8.63,0
034,2026-06-15T04:00:00,Science Lab,4,6,77.1,0,8.9,8.6,0
035,2026-06-15T04:00:00,Library,4,6,77.1,0,6.5,7.26,0
036,2026-06-15T05:00:00,A-Wing Classrooms,5,6,82.7,0,9.24,9.64,0
037,2026-06-15T05:00:00,B-Wing Bathrooms,5,6,82.7,0,3.94,3.18,0
038,2026-06-15T05:00:00,Cafeteria,5,6,82.7,0,11.54,9.99,0
039,2026-06-15T05:00:00,Gym,5,6,82.7,0,12.24,12.22,0
040,2026-06-15T05:00:00,Auditorium,5,6,82.7,0,8.24,8.23,0
041,2026-06-15T05:00:00,Science Lab,5,6,82.7,0,9.94,8.91,0
042,2026-06-15T05:00:00,Library,5,6,82.7,0,7.54,6.98,0
043,2026-06-15T06:00:00,A-Wing Classrooms,6,6,80.7,0,8.8,8.99,0
044,2026-06-15T06:00:00,B-Wing Bathrooms,6,6,80.7,0,3.5,3.64,0
045,2026-06-15T06:00:00,Cafeteria,6,6,80.7,0,11.1,10.63,0
046,2026-06-15T06:00:00,Gym,6,6,80.7,0,11.8,11.31,0
047,2026-06-15T06:00:00,Auditorium,6,6,80.7,0,7.8,7.26,0
048,2026-06-15T06:00:00,Science Lab,6,6,80.7,0,9.5,9.23,0
049,2026-06-15T06:00:00,Library,6,6,80.7,0,7.1,6.59,0
050,2026-06-15T07:00:00,A-Wing Classrooms,7,6,86.3,0,10.02,10.11,0
051,2026-06-15T07:00:00,B-Wing Bathrooms,7,6,86.3,0,4.72,5.46,0
052,2026-06-15T07:00:00,Cafeteria,7,6,86.3,0,12.32,12.68,0
053,2026-06-15T07:00:00,Gym,7,6,86.3,0,13.02,12.71,0
054,2026-06-15T07:00:00,Auditorium,7,6,86.3,0,9.02,8.14,0
055,2026-06-15T07:00:00,Science Lab,7,6,86.3,0,10.72,12.05,0
056,2026-06-15T07:00:00,Library,7,6,86.3,0,8.32,8.37,0
057,2026-06-16T08:00:00,A-Wing Classrooms,8,6,86.6,0,10.09,10.62,0
058,2026-06-16T08:00:00,B-Wing Bathrooms,8,6,86.6,0,4.79,4.54,0
059,2026-06-16T08:00:00,Cafeteria,8,6,86.6,0,12.39,12.36,0
060,2026-06-16T08:00:00,Gym,8,6,86.6,0,13.09,11.71,0
061,2026-06-16T08:00:00,Auditorium,8,6,86.6,0,9.09,9.48,0
062,2026-06-16T08:00:00,Science Lab,8,6,86.6,0,10.79,9.18,0
063,2026-06-16T08:00:00,Library,8,6,86.6,0,8.39,7.29,0
064,2026-06-16T09:00:00,A-Wing Classrooms,9,6,78.5,0,8.3,7.47,0
065,2026-06-16T09:00:00,B-Wing Bathrooms,9,6,78.5,0,3.0,1.37,0
066,2026-06-16T09:00:00,Cafeteria,9,6,78.5,0,10.6,10.1,0
067,2026-06-16T09:00:00,Gym,9,6,78.5,0,11.3,11.27,0
068,2026-06-16T09:00:00,Auditorium,9,6,78.5,0,7.3,7.9,0
069,2026-06-16T09:00:00,Science Lab,9,6,78.5,0,9.0,7.89,0
070,2026-06-16T09:00:00,Library,9,6,78.5,0,6.6,6.45,0
071,2026-06-16T10:00:00,A-Wing Classrooms,10,6,86.2,0,10.01,10.31,0
072,2026-06-16T10:00:00,B-Wing Bathrooms,10,6,86.2,0,4.71,4.28,0
073,2026-06-16T10:00:00,Cafeteria,10,6,86.2,0,12.31,12.2,0
074,2026-06-16T10:00:00,Gym,10,6,86.2,0,13.01,12.93,0
075,2026-06-16T10:00:00,Auditorium,10,6,86.2,0,9.01,8.72,0
076,2026-06-16T10:00:00,Science Lab,10,6,86.2,0,10.71,10.24,0
077,2026-06-16T10:00:00,Library,10,6,86.2,0,8.31,8.58,0
078,2026-06-16T11:00:00,A-Wing Classrooms,11,6,87.7,0,10.33,9.73,0
079,2026-06-16T11:00:00,B-Wing Bathrooms,11,6,87.7,0,5.03,5.11,0
080,2026-06-16T11:00:00,Cafeteria,11,6,87.7,0,12.63,19.49,1
081,2026-06-16T11:00:00,Gym,11,6,87.7,0,13.33,14.51,0
082,2026-06-16T11:00:00,Auditorium,11,6,87.7,0,9.33,8.37,0
083,2026-06-16T11:00:00,Science Lab,11,6,87.7,0,11.03,11.56,0
084,2026-06-16T11:00:00,Library,11,6,87.7,0,8.63,7.01,0
085,2026-06-17T12:00:00,A-Wing Classrooms,12,6,82.6,0,9.22,10.13,0
086,2026-06-17T12:00:00,B-Wing Bathrooms,12,6,82.6,0,3.92,4.3,0
087,2026-06-17T12:00:00,Cafeteria,12,6,82.6,0,11.52,10.3,0
088,2026-06-17T12:00:00,Gym,12,6,82.6,0,12.22,13.2,0
089,2026-06-17T12:00:00,Auditorium,12,6,82.6,0,8.22,8.1,0
090,2026-06-17T12:00:00,Science Lab,12,6,82.6,0,9.92,9.75,0
091,2026-06-17T12:00:00,Library,12,6,82.6,0,7.52,7.24,0
092,2026-06-17T13:00:00,A-Wing Classrooms,13,6,85.0,0,9.74,9.36,0
093,2026-06-17T13:00:00,B-Wing Bathrooms,13,6,85.0,0,4.44,3.74,0
094,2026-06-17T13:00:00,Cafeteria,13,6,85.0,0,12.04,12.24,0
095,2026-06-17T13:00:00,Gym,13,6,85.0,0,12.74,13.54,0
096,2026-06-17T13:00:00,Auditorium,13,6,85.0,0,8.74,8.49,0
097,2026-06-17T13:00:00,Science Lab,13,6,85.0,0,10.44,10.44,0
098,2026-06-17T13:00:00,Library,13,6,85.0,0,8.04,7.78,0
099,2026-06-17T14:00:00,A-Wing Classrooms,14,6,83.5,0,9.42,9.72,0
100,2026-06-17T14:00:00,B-Wing Bathrooms,14,6,83.5,0,4.12,4.71,0
101,2026-06-17T14:00:00,Cafeteria,14,6,83.5,0,11.72,11.84,0
102,2026-06-17T14:00:00,Gym,14,6,83.5,0,12.42,12.49,0
103,2026-06-17T14:00:00,Auditorium,14,6,83.5,0,8.42,9.32,0
104,2026-06-17T14:00:00,Science Lab,14,6,83.5,0,10.12,9.52,0
105,2026-06-17T14:00:00,Library,14,6,83.5,0,7.72,7.85,0
106,2026-06-17T15:00:00,A-Wing Classrooms,15,6,75.2,0,8.2,6.93,0
